fecha_publicacion,fecha_larga,agno,nivel,entidad,seccion,titulo,subtitulo,descripcion,presupuesto,num_beneficiarios,link_publicacion
5/2/2021,Viernes 5 de Febrero del 2021  ,2021,Alcaldía,Iztapalapa,Desarrollo Social,Apoyo económico situación extrema y urgente,"Apoyo Económico a Personas en Situación de Vulnerabilidad, Extrema Gravedad y Urgencia para la Salud, la Vida, el Desarrollo de las Personas y las Familias, 2021",Se otorgarán 100 transferencias monetarias a personas en situación de vulnerabilidad en la demarcación,3000000,100,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ad9507e1442f74596e83df227d0664cd.pdf
5/2/2021,Viernes 5 de Febrero del 2021  ,2021,Alcaldía,Iztapalapa,Económico,Apoyo a mercados públicos Iztapalapa,Apoyo Extraordinario y Único a los Mercados Públicos de Iztapalapa,"Se otorgarán transferencias monetarias de $250,000  para el mejoramiento de 20 mercados públicos en la demarcación.",5000000,20,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ad9507e1442f74596e83df227d0664cd.pdf
5/2/2021,Viernes 5 de Febrero del 2021  ,2021,Alcaldía,Iztapalapa,Económico,Ingreso familiar emergencia Mercomuna 2021,"Ingreso Familiar de Emergencia Mercomuna, 2021","Se otorgarán transferencias monetarias de $300, a través de  vales durante cuatro ministraciones a 190,000 familias en la demarcación",175000000,190000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ad9507e1442f74596e83df227d0664cd.pdf
9/2/2021,Martes 9 de Febrero del 2021  ,2021,Alcaldía,Milpa Alta,Económico,Misión Construyendo Ciudadania,Misión Construyendo Ciudadania,"Otorgar transferencias monetarias a 160 personas habitantes de la demarcación Milpa Alta que hayan perdido sus empleos en el marco de la emergencia sanitaria por COVID 19, mediante el desarrollo de actividades de mejoramiento del espacio público",8460000,160,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/b2b2bbcdac580c79ee45a40b4cf6549f.pdf
10/2/2021,Miércoles 10 de Febrero del 2021  ,2021,Alcaldía,Milpa Alta,Funerario,Servicio Funerario Digno,Servicio Funerario Digno,Se otorgarán 34 servicios funerarios a familias en situación de vulnerabilidad.,197200,34,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/48d6abd5b828e9e049d260fb1ce5b8c4.pdf
11/2/2021,Jueves 11 de Febrero del 2021  ,2021,Central,Secretaría de Salud,Salud,Apoyo a médicos residentes COVID-19,Apoyo a Médicos Residentes de la Primera Línea de Atención a la Pandemia por el Virus SARS-COV-2 (COVID19) en el Sistema de Salud Público de la Ciudad de México,Se otorgarán hasta 400 transferencias monetarias con un monto variable a médicos residentes,8000000,400,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/fd6b0cc0960955df4f6eb604fe0ea639.pdf
11/2/2021,Jueves 11 de Febrero del 2021  ,2021,Central,DIF,Familias,Apoyo a familias de acogida 2021,Apoyo a Familias de Acogida Temporal 2021,,ND,ND,ND
11/2/2021,Jueves 11 de Febrero del 2021  ,2021,Alcaldía,Tláhuac,Salud,Radares por salud y empleo Tláhuac,"Radares por la Salud de Tláhuac, plan emergente de empleo y prevención de la COVID-19, para el Ejercicio Fiscal 2021","Se proporcionarán transferencias monetarias a 324 personas de la demarcación Tláhuac, mediante el desarrollo de actividades de mejoramiento del espacio público",4806000,324,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/c7ed67b8c8a63e87e768dd81296cbebe.pdf
15/02/2021,Lunes 15 de Febrero del 2021  ,2021,Alcaldía,Iztacalco,Económico,Juntos mejorando comunidad en Iztacalco,Juntos Mejorando Iztacalco,"Se otorgarán transferencias monetarias o a 165 personas habitantes de la Alcaldía Iztacalco que hayan perdido sus empleos en el marco de la emergencia sanitaria por COVID 19, desempeñando actividades enfocadas a la recuperación del espacio público. ",3375000,,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/9b34689cafef33210923e2c98d4d8341.pdf
22/02/2021,Lunes 22 de Febrero del 2021  ,2021,Alcaldía,Miguel Hidalgo,Económico,La Protectora COVID,La Protectora COVID,"Se proporcionarán a 18,500 personas que solicitaron su ingreso al programa social La Empleadora y no resultaron beneficiarias una transferencia monetaria de $1,800 divididos en tres ministraciones mensuales de $600.00",33300000,18500,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/54b9a58c5d4d17a58004a983dc5b5fa3.pdf
